,cycle,state,modeldate_mf,candidate_name,candidate,party,pct_estimate,pct_trend_adjusted,percent_total_actual
220812,1976,California,1976-11-02,Gerald R. Ford,"Ford, Gerald",republican,46.068216,47.187956,49.748313955946934
220813,1976,Colorado,1976-11-02,Gerald R. Ford,"Ford, Gerald",republican,43.553292,44.807713,54.02777777777777
220814,1976,Connecticut,1976-11-02,Gerald R. Ford,"Ford, Gerald",republican,43.167668,45.800906,51.881444507359234
220815,1976,Delaware,1976-11-02,Gerald R. Ford,"Ford, Gerald",republican,30.925426,36.518915,46.587620203529085
220816,1976,Georgia,1976-11-02,Gerald R. Ford,"Ford, Gerald",republican,30.416786,31.041427000000002,33.06170514068258
220817,1976,Idaho,1976-11-02,Gerald R. Ford,"Ford, Gerald",republican,47.231460999999996,47.66895,59.880269379231045
220818,1976,Illinois,1976-11-02,Gerald R. Ford,"Ford, Gerald",republican,48.138897,49.156088000000004,50.07684353529401
220819,1976,Indiana,1976-11-02,Gerald R. Ford,"Ford, Gerald",republican,43.203328000000006,45.802368,53.322746471070936
220820,1976,Iowa,1976-11-02,Gerald R. Ford,"Ford, Gerald",republican,46.021599,47.543169,49.469437654722924
220821,1976,Kansas,1976-11-02,Gerald R. Ford,"Ford, Gerald",republican,46.104269,49.034812,52.487824230433944
220822,1976,Maine,1976-11-02,Gerald R. Ford,"Ford, Gerald",republican,41.706581,41.532132,48.9307780225605
220823,1976,Maryland,1976-11-02,Gerald R. Ford,"Ford, Gerald",republican,30.016708,31.514236,46.964580076563614
220824,1976,Massachusetts,1976-11-02,Gerald R. Ford,"Ford, Gerald",republican,35.971312,37.712026,40.44170927609891
220825,1976,Michigan,1976-11-02,Gerald R. Ford,"Ford, Gerald",republican,45.081918,46.410401,51.860751070081804
220826,1976,Minnesota,1976-11-02,Gerald R. Ford,"Ford, Gerald",republican,36.285449,39.115353999999996,42.02174333348206
220827,1976,Missouri,1976-11-02,Gerald R. Ford,"Ford, Gerald",republican,43.846193,44.753264,47.47353603603604
220829,1976,Nebraska,1976-11-02,Gerald R. Ford,"Ford, Gerald",republican,53.02522,55.22934300000001,59.20388826351588
220830,1976,New Jersey,1976-11-02,Gerald R. Ford,"Ford, Gerald",republican,44.645726,47.727911999999996,50.08134094461651
220831,1976,New York,1976-11-02,Gerald R. Ford,"Ford, Gerald",republican,44.351337,45.138915000000004,42.378553812072774
220833,1976,North Carolina,1976-11-02,Gerald R. Ford,"Ford, Gerald",republican,40.518208,41.953838,44.219402040400354
